10
13
185 190 200 180 200 190 200 180 195 190
22 17 10 8 14 12 17 19 25 25 6 21 6
0 21 86 14 84 72 24 54 83 70 8 91 42 57 
21 0 71 35 70 51 16 75 62 91 29 70 57 52 
86 71 0 100 39 70 87 137 81 73 78 103 128 33 
14 35 100 0 98 86 38 49 97 56 22 105 29 71 
84 70 39 98 0 109 86 135 120 57 76 129 126 27 
63 51 70 77 109 0 49 117 11 133 71 64 90 103 
24 16 87 38 86 49 0 78 60 94 32 67 41 60 
63 84 137 49 135 135 87 0 146 79 59 154 65 108 
74 62 81 88 120 11 60 128 0 144 82 68 94 114 
70 91 73 56 57 142 94 79 153 0 63 161 72 40 
8 29 78 22 76 80 32 59 91 63 0 99 50 49 
91 70 133 105 129 64 67 145 68 161 99 0 91 122 
42 57 128 29 126 90 41 65 94 72 50 91 0 99 
57 52 33 71 27 103 60 108 114 40 49 122 99 0 
