10
13
180 190 210 200 195 180 210 200 195 210
4 12 3 15 13 20 21 4 25 21 7 3 9
0 49 80 59 112 79 112 187 28 47 36 69 138 54 
49 0 43 107 93 30 92 236 74 9 79 38 187 15 
80 43 0 132 136 73 135 261 104 52 109 11 212 28 
69 107 138 0 171 137 171 129 87 105 33 127 80 112 
112 93 136 171 0 79 13 186 84 84 148 131 149 108 
79 30 73 137 79 0 66 265 103 32 108 68 216 45 
112 92 135 171 13 66 0 199 84 83 148 130 150 107 
187 211 168 129 186 241 199 0 162 220 158 179 49 196 
28 74 104 87 84 103 84 162 0 71 64 93 113 78 
47 9 52 105 84 32 83 233 71 0 76 47 184 24 
36 79 109 33 148 108 148 158 64 76 0 98 109 83 
69 38 11 121 131 68 130 250 93 47 98 0 201 23 
138 162 119 80 149 192 150 49 113 171 109 130 0 147 
54 15 28 112 108 45 107 240 78 24 83 23 191 0 
